Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
2024321343.txt,201,11,26,17,12,7,5,10,28,18.2727,16.7500,11.8235,1.5455,2.1667,1.4167,0.4118,0.5833,1.0909,0.4167,0.8333,0.5882,2.3333,1.6471
2023313356.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024311337.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024314099.txt,233,11,30,19,11,8,7,9,26,21.1818,21.1818,12.2632,1.7273,2.7273,1.7273,0.4211,0.7273,1.0000,0.6364,0.8182,0.4737,2.3636,1.3684
2024321543.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2023313145.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024311550.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024313343.txt,242,10,29,21,12,9,8,3,36,24.2000,20.1667,11.5238,2.1000,2.4167,1.7500,0.4286,0.7500,1.2000,0.6667,0.2500,0.1429,3.0000,1.7143
2024311353.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2023314139.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2023314107.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024324127.txt,239,10,28,17,13,4,4,3,32,23.9000,18.3846,14.0588,1.7000,2.1538,1.3077,0.2353,0.3077,1.3000,0.3077,0.2308,0.1765,2.4615,1.8824
2024311406.txt,191,11,25,19,15,5,6,4,21,17.3636,12.7333,10.0526,1.7273,1.6667,1.2667,0.2632,0.3333,1.3636,0.4000,0.2667,0.2105,1.4000,1.1053
2023313077.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2023314095.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024324131.txt,196,7,19,12,7,5,5,8,23,28.0000,28.0000,16.3333,1.7143,2.7143,1.7143,0.4167,0.7143,1.0000,0.7143,1.1429,0.6667,3.2857,1.9167
2023314109.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024314133.txt,283,15,32,21,15,6,6,13,37,18.8667,18.8667,13.4762,1.4000,2.1333,1.4000,0.2857,0.4000,1.0000,0.4000,0.8667,0.6190,2.4667,1.7619
2022324186.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024311310.txt,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2024321213.txt,265,10,20,15,10,4,3,7,42,26.5000,26.5000,17.6667,1.5000,2.0000,1.5000,0.2667,0.4000,1.0000,0.3000,0.7000,0.4667,4.2000,2.8000
