2024110617251.txt,"appreciation,unprecedented,powerful,greatest,overcame,","furious,obstacles,concession,concede,",-0.2
2024110704577.txt,"wealthy, victory, support, faith, forward","disproportionate, strip, fire, distanced, unsuccessfully, critical, bribery, arrested, charge, guilty, embarrass, impossible",-0.1
2024110617292.txt,"thank, good, future, thank, admire, hope, thank, faith, admire, hope, touched, lives, please,","stuck, second, damage, injuries, criminal, responsible, stopped, convicted, defending, PLEASE, DON'T,",0.1
2024110617052.txt,"decisive, victory, cheers, hero's, jubilant, victory, victory, opportunity, respite, security","criticised, invasion, defeat, insult, subdued, fear",-0.1
2024110623081.txt,"better,pride,gratitude,congratulate,peaceful,respect,cherish,freedom,opportunity,fairness,dignity,freedom,opportunity,dreams,ambitions,aspirations,freedom","conceded,defeated,losing,claimed,stolen,fraud,concede,sad,disappointed",-0.1
2024110707041.txt,"responsibly,grace,dignity,hope,best,freedom,dignity,aspirations,important,peaceful","resist,concession,excuses,worst-case,doomed",+0.5
2024110619531.txt,"unifying, strength, professionalism, tenacity, unifying, peaceful, victory, incredible, victory, extraordinary, honor, golden, fight, strong, safe, prosperous, deserve, deserve, Summa Cum Laude, honors,","concede, losing, painful, impacts, obstacles, crazy, fight,",-0.1
2024110704574.txt,"extraordinary,decisive,opportunities,success,leading,uniting,congratulations,extraordinary,decisive,victory,success,exciting","uncertain,wrong,criticism,trouble,trouble,fears,violence,shut,shut",-0.1
2024110617291.txt,"thrilling, great, courageous, significant, rousing, expert, genuine, great, hard, pride, honor, belief, shone, proud, exemplary, urgent, cherish, value, independence, respect, beloved, strong, worthy, brilliant, dignity, decency, grace, blessing, elegant, strength, proud, incredible, well, great, courage, unity, beacon, hope,","exhaustive, blame, crises, disasters, hard, imperfect, deficiencies, painfully, uphill, bullied, attacked, denigrated,",+0.7
2024110622202.txt,"peaceful, importance, strength, professionalism, tenacity, unifying, historic, commitment, smooth, emphasized, importance, together, historic, swiftly, coalesced, solidified, history, major, focus, reserved, reserved","chaotic, assassination, disastrous",+0.3
2024110619041.txt,"support, intelligent, in-depth, trustworthy, peaceful, potential, profound, foundational, popular, alma mater, supporters, ahead, address, soon, top, adviser, enough, devastating, thank, confirm, swiftly, unified, remarkable, fate, limitations, once, chose","danger, rejection, anxiety, upheaval, danger, impeachments, felony, loss, bitter, violent, insurrection, threat, dissuade, struggling, stumbled, dropped, flamed, limitations",-0.2
2024110623444.txt,"less, less,",-0.2
2024110617051.txt,"unique,freedom,opportunity,prosperity,expanded,freedoms,freedom,freedom,advocated,freedom,freedom,freedom,opportunity,inspired,important,beautiful","acrimonious,criticized,criticism,illegal,lacklustre,grilling,unable,divorcing",-0.1
2024110622411.txt,"supporters, hope, future, promise, bright, peaceful, fundamental, principle, democracy, trust, honor, top, momentum, fundraising, victory, improving, resonate, supporters, encouraged, fighting, democracy, rule, law, equal, justice, sacred, fundamental, rights, freedoms, respected, upheld","disappointment, losing, defeat, tyranny, defeat, illegal, defeat, race, misogyny",+0.2
2024110623082.txt,"win, important, better, power, possible, hope, successes, right, worth, faith, prouder, champion, valuable, powerful, deserving, opportunity, achieve, dreams, factual, fair, accountable, focus, graduate, touch, languages, focus, graduate, touch, languages","loss, hurts, painful",+0.5
2024110615291.txt,"largest, authoritative, expertise, comprehensive, strongest, unmatched, unrivalled, leader, highly-customised, insights, professionals, worldwide, manage, solution, experience, help, complete, access, build, reaching, media, industry, content, news, financial, business, technology, professionals, worldwide, sources, experts, relationships, networks, exchanges,","weaken, beleaguered, risks, hidden,",+0.3
2024110704571.txt,"victory, victory, gain, win, beautiful, beautiful, beautiful, popular, support, advance","defeated, indicted, convicted, felony, hush-money, extremism, acrimonious, insults, barbs, threats, takeover, takeover, takeover, horribly, nightmare, murder, crime, shot, mugged, raped",-0.3
